INFO - Tue Sep 10 2019 10:30:29 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Sequence: [29,65] 
INFO - Tue Sep 10 2019 10:30:36 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Play/Pause, Command Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:30:37 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Mute, Command Sequence: [29,50] 
INFO - Tue Sep 10 2019 10:30:37 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Up, Command Sequence: [29,61000] 
INFO - Tue Sep 10 2019 10:30:38 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Down, Command Sequence: [29,61008] 
INFO - Tue Sep 10 2019 10:30:38 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Next, Command Sequence: [29,49] 
INFO - Tue Sep 10 2019 10:30:38 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Show Song Title, Command Sequence: [29,24] 
INFO - Tue Sep 10 2019 10:31:10 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Sequence: [29,65] 
INFO - Tue Sep 10 2019 10:31:10 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Play/Pause, Command Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:31:10 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Up, Command Sequence: [29,61000] 
INFO - Tue Sep 10 2019 10:31:10 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Down, Command Sequence: [29,61008] 
INFO - Tue Sep 10 2019 10:31:10 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Mute, Command Sequence: [29,50] 
INFO - Tue Sep 10 2019 10:31:10 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Next, Command Sequence: [29,49] 
INFO - Tue Sep 10 2019 10:31:10 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Show Song Title, Command Sequence: [29,24] 
INFO - Tue Sep 10 2019 10:31:47 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Sequence: [29,65] 
INFO - Tue Sep 10 2019 10:31:47 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Play/Pause, Command Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:31:47 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Mute, Command Sequence: [29,50] 
INFO - Tue Sep 10 2019 10:31:47 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Down, Command Sequence: [29,61008] 
INFO - Tue Sep 10 2019 10:31:47 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Next, Command Sequence: [29,49] 
INFO - Tue Sep 10 2019 10:31:47 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Up, Command Sequence: [29,61000] 
INFO - Tue Sep 10 2019 10:31:47 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Show Song Title, Command Sequence: [29,24] 
INFO - Tue Sep 10 2019 10:34:31 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:34:31 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Play/Pause, Command Sequence: [29,57] 
INFO - Tue Sep 10 2019 10:34:31 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Up, Command Sequence: [29,61000] 
INFO - Tue Sep 10 2019 10:34:31 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Mute, Command Sequence: [29,50] 
INFO - Tue Sep 10 2019 10:34:31 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Down, Command Sequence: [29,61008] 
INFO - Tue Sep 10 2019 10:34:31 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Next, Command Sequence: [29,49] 
INFO - Tue Sep 10 2019 10:34:31 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Show Song Title, Command Sequence: [29,24] 
INFO - Tue Sep 10 2019 10:35:49 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:35:49 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Play/Pause, Command Sequence: [29,57] 
INFO - Tue Sep 10 2019 10:35:49 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Mute, Command Sequence: [29,50] 
INFO - Tue Sep 10 2019 10:35:49 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Up, Command Sequence: [29,61000] 
INFO - Tue Sep 10 2019 10:35:49 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Down, Command Sequence: [29,61008] 
INFO - Tue Sep 10 2019 10:35:49 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Next, Command Sequence: [29,49] 
INFO - Tue Sep 10 2019 10:35:49 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Show Song Title, Command Sequence: [29,24] 
INFO - Tue Sep 10 2019 10:37:30 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:37:30 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Play/Pause, Command Sequence: [29,57] 
INFO - Tue Sep 10 2019 10:37:30 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Up, Command Sequence: [29,61000] 
INFO - Tue Sep 10 2019 10:37:30 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Mute, Command Sequence: [29,50] 
INFO - Tue Sep 10 2019 10:37:30 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Down, Command Sequence: [29,61008] 
INFO - Tue Sep 10 2019 10:37:30 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Next, Command Sequence: [29,49] 
INFO - Tue Sep 10 2019 10:37:30 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Show Song Title, Command Sequence: [29,24] 
INFO - Tue Sep 10 2019 10:37:40 GMT-0500 (Central Daylight Time) - Main Shortcut Processed - Key Binding: Youtube, Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:38:48 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:38:48 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Play/Pause, Command Sequence: [29,57] 
INFO - Tue Sep 10 2019 10:38:48 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Mute, Command Sequence: [29,50] 
INFO - Tue Sep 10 2019 10:38:48 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Up, Command Sequence: [29,61000] 
INFO - Tue Sep 10 2019 10:38:48 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Down, Command Sequence: [29,61008] 
INFO - Tue Sep 10 2019 10:38:48 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Next, Command Sequence: [29,49] 
INFO - Tue Sep 10 2019 10:38:48 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Show Song Title, Command Sequence: [29,24] 
INFO - Tue Sep 10 2019 10:38:53 GMT-0500 (Central Daylight Time) - Main Shortcut Processed - Key Binding: Youtube, Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:40:52 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:40:52 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Play/Pause, Command Sequence: [29,57] 
INFO - Tue Sep 10 2019 10:40:52 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Up, Command Sequence: [29,61000] 
INFO - Tue Sep 10 2019 10:40:52 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Mute, Command Sequence: [29,50] 
INFO - Tue Sep 10 2019 10:40:52 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Down, Command Sequence: [29,61008] 
INFO - Tue Sep 10 2019 10:40:52 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Next, Command Sequence: [29,49] 
INFO - Tue Sep 10 2019 10:40:52 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Show Song Title, Command Sequence: [29,24] 
INFO - Tue Sep 10 2019 10:40:59 GMT-0500 (Central Daylight Time) - Main Shortcut Processed - Key Binding: Youtube, Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:41:16 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=AQOhWSi6g_0&list=RDAQOhWSi6g_0&start_radio=1 
INFO - Tue Sep 10 2019 10:41:29 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:41:29 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Play/Pause, Command Sequence: [29,57] 
INFO - Tue Sep 10 2019 10:41:29 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Mute, Command Sequence: [29,50] 
INFO - Tue Sep 10 2019 10:41:29 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Up, Command Sequence: [29,61000] 
INFO - Tue Sep 10 2019 10:41:29 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Volume Down, Command Sequence: [29,61008] 
INFO - Tue Sep 10 2019 10:41:29 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Next, Command Sequence: [29,49] 
INFO - Tue Sep 10 2019 10:41:29 GMT-0500 (Central Daylight Time) - Key Binding: Youtube, Command Name: Show Song Title, Command Sequence: [29,24] 
INFO - Tue Sep 10 2019 10:41:41 GMT-0500 (Central Daylight Time) - Main Shortcut Processed - Key Binding: Youtube, Sequence: [29,25] 
INFO - Tue Sep 10 2019 10:42:00 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=12wctGs-4pI&list=RDMM12wctGs-4pI&start_radio=1 
INFO - Tue Sep 10 2019 10:42:00 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=12wctGs-4pI&list=RDMM12wctGs-4pI&start_radio=1 
INFO - Tue Sep 10 2019 10:47:47 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,49], Window URL: https://www.youtube.com/watch?v=lzkKzZmRZk8&list=RDMM12wctGs-4pI&index=2 
INFO - Tue Sep 10 2019 10:50:57 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:50:57 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:50:57 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:02 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:02 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:02 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:03 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:03 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:03 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:03 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:04 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:04 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:04 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:05 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:05 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:06 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:06 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:07 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:08 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:08 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:09 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:09 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 10:51:09 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=z6nfK_zhYNk&list=RDMM12wctGs-4pI&index=3 
INFO - Tue Sep 10 2019 11:05:27 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=Ba3u2wVrM60&list=RDMM12wctGs-4pI&index=6 
INFO - Tue Sep 10 2019 11:05:28 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=Ba3u2wVrM60&list=RDMM12wctGs-4pI&index=6 
INFO - Tue Sep 10 2019 11:05:30 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=Ba3u2wVrM60&list=RDMM12wctGs-4pI&index=6 
INFO - Tue Sep 10 2019 11:05:30 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=Ba3u2wVrM60&list=RDMM12wctGs-4pI&index=6 
INFO - Tue Sep 10 2019 11:05:30 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=Ba3u2wVrM60&list=RDMM12wctGs-4pI&index=6 
INFO - Tue Sep 10 2019 11:05:46 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=Ba3u2wVrM60&list=RDMM12wctGs-4pI&index=6 
INFO - Tue Sep 10 2019 11:05:47 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=Ba3u2wVrM60&list=RDMM12wctGs-4pI&index=6 
INFO - Tue Sep 10 2019 11:13:19 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=ZCu2gwLj9ok&list=RDMM12wctGs-4pI&index=8 
INFO - Tue Sep 10 2019 11:13:21 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=ZCu2gwLj9ok&list=RDMM12wctGs-4pI&index=8 
INFO - Tue Sep 10 2019 11:13:21 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=ZCu2gwLj9ok&list=RDMM12wctGs-4pI&index=8 
INFO - Tue Sep 10 2019 11:13:21 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=ZCu2gwLj9ok&list=RDMM12wctGs-4pI&index=8 
INFO - Tue Sep 10 2019 11:28:47 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=PWhMoGt0cs8&list=RDMM12wctGs-4pI&index=12 
INFO - Tue Sep 10 2019 11:28:50 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=PWhMoGt0cs8&list=RDMM12wctGs-4pI&index=12 
INFO - Tue Sep 10 2019 11:28:50 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=PWhMoGt0cs8&list=RDMM12wctGs-4pI&index=12 
INFO - Tue Sep 10 2019 11:28:50 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=PWhMoGt0cs8&list=RDMM12wctGs-4pI&index=12 
INFO - Tue Sep 10 2019 11:28:50 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61000], Window URL: https://www.youtube.com/watch?v=PWhMoGt0cs8&list=RDMM12wctGs-4pI&index=12 
INFO - Tue Sep 10 2019 11:28:51 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,61008], Window URL: https://www.youtube.com/watch?v=PWhMoGt0cs8&list=RDMM12wctGs-4pI&index=12 
INFO - Tue Sep 10 2019 11:31:56 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=yzr4vItHf24&list=RDMM12wctGs-4pI&index=13 
INFO - Tue Sep 10 2019 11:31:56 GMT-0500 (Central Daylight Time) - Child Shortcut Processed - Key Binding: Youtube, Sequence: [29,57], Window URL: https://www.youtube.com/watch?v=yzr4vItHf24&list=RDMM12wctGs-4pI&index=13 
